description,RandomForestRegressor,SVR,KNeighborsRegressor,ANN,NGBoost,LightGBM,GradientBoostingRegressor,XGboost
baseline_score,29.185652931905697,77.42951812579332,81.48773186343571,54.51682636014704,,,,
baseline_process_time,0:00:00.728201,0:00:00.032433,0:00:00.007381,0:00:05.025294,,,,
gridsearch_score,25.639921597582575,58.915570407480686,81.48773186343571,21.61641493194918,,,,
gridsearch_process_time,0:01:07.576929,0:00:12.590614,0:00:00.033711,0:00:17.300031,,,,
randomsearch_score,26.765385651168497,58.74623403659891,80.83005201647829,37.1377197760533,,,,
randomsearch_process_time,0:00:07.387299,0:00:00.781395,0:00:00.068508,0:00:34.648810,,,,
bo_score,24.998397502513477,58.42964545602815,81.38111289525693,26.09534543977397,,,,
bo_process_time,0:00:25.355049,0:00:13.438381,0:00:00.566230,0:00:36.139576,,,,
gp_minimize_score,26.24210735061726,59.9105200733124,80.74121499347262,0,,,,
gp_minimize_process_time,0:00:12.032501,0:00:04.490395,0:00:00.405420,0,,,,
BO-TPE_score,27.295835117803005,60.85045957668522,80.83005201647829,43.04117315646271,7.474223834773602,9.453120615514075,,
BO-TPE_process_time,0:00:14.974078,0:00:00.541801,0:00:00.120571,0:01:03.191649,0:00:08.298525,0:00:03.566984,,
Optuna_score,28.96234018686128,58.044449587314205,81.48773186343571,0,,24.98950851179022,99.18373294711027,27.779193959971582
Optuna_process_time,0:00:00.705325,0:00:00.041045,0:00:00.009630,0,,0:00:00.143021,0:00:00.756687,0:00:00.484482
